Tamaño,Algoritmo,Tiempos (s),Evaluaciones
4,vuelta_atras,"0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0010025501, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000",7
4,ac_3,"0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0009996891, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0009999275, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0008089542, 0.0000000000, 0.0000000000",8
8,vuelta_atras,"0.0000000000, 0.0000000000, 0.0010025501, 0.0000000000, 0.0000000000, 0.0009980202, 0.0000000000, 0.0000000000, 0.0000000000, 0.0009984970, 0.0000000000, 0.0000000000, 0.0010001659, 0.0000000000, 0.0009977818, 0.0000000000, 0.0000000000, 0.0010011196, 0.0000000000, 0.0000000000, 0.0009992123, 0.0000000000, 0.0000000000, 0.0009992123, 0.0000000000, 0.0010008812, 0.0000000000, 0.0000000000, 0.0000000000, 0.0010051727",23
8,ac_3,"0.0035915375, 0.0021889210, 0.0029993057, 0.0030021667, 0.0030128956, 0.0009989738, 0.0020003319, 0.0019998550, 0.0020005703, 0.0030853748, 0.0040023327, 0.0029981136, 0.0029149055, 0.0020008087, 0.0039994717, 0.0025753975, 0.0016436577, 0.0039992332, 0.0009999275, 0.0030012131, 0.0019981861, 0.0029997826, 0.0020017624, 0.0030815601, 0.0032467842, 0.0029997826, 0.0030469894, 0.0029537678, 0.0030009747, 0.0039999485",92
10,vuelta_atras,"0.0020012856, 0.0019993782, 0.0049989223, 0.0019993782, 0.0020077229, 0.0009925365, 0.0020964146, 0.0009994507, 0.0019996166, 0.0010011196, 0.0019984245, 0.0019993782, 0.0010056496, 0.0019958019, 0.0009994507, 0.0020008087, 0.0009980202, 0.0020017624, 0.0009996891, 0.0021080971, 0.0020000935, 0.0010020733, 0.0020020008, 0.0020020008, 0.0010073185, 0.0020377636, 0.0010004044, 0.0019974709, 0.0009973049, 0.0020027161",226
10,ac_3,"0.0010004044, 0.0009834766, 0.0017416477, 0.0020406246, 0.0009980202, 0.0009977818, 0.0010004044, 0.0010006428, 0.0019588470, 0.0010416508, 0.0009610653, 0.0020339489, 0.0010011196, 0.0010015965, 0.0019636154, 0.0010375977, 0.0016579628, 0.0004303455, 0.0010323524, 0.0009999275, 0.0010058880, 0.0009946823, 0.0009999275, 0.0010004044, 0.0020053387, 0.0010402203, 0.0009982586, 0.0019629002, 0.0010380745, 0.0010008812",86
12,vuelta_atras,"0.0019991398, 0.0019998550, 0.0025606155, 0.0019960403, 0.0020048618, 0.0020396709, 0.0019927025, 0.0020031929, 0.0022122860, 0.0020387173, 0.0020051003, 0.0019962788, 0.0020084381, 0.0020368099, 0.0019650459, 0.0020344257, 0.0019984245, 0.0020020008, 0.0011594296, 0.0020031929, 0.0019989014, 0.0020368099, 0.0020010471, 0.0020503998, 0.0019927025, 0.0020005703, 0.0020003319, 0.0010023117, 0.0031099319, 0.0009996891",223
12,ac_3,"0.0100009441, 0.0080001354, 0.0080418587, 0.0081450939, 0.0080404282, 0.0068519115, 0.0080404282, 0.0069603920, 0.0082015991, 0.0069932938, 0.0080008507, 0.0081675053, 0.0080375671, 0.0071382523, 0.0076038837, 0.0079991817, 0.0082094669, 0.0069997311, 0.0080137253, 0.0080404282, 0.0079984665, 0.0070488453, 0.0080487728, 0.0080983639, 0.0069544315, 0.0080490112, 0.0080509186, 0.0070483685, 0.0080003738, 0.0080468655",613
