Algoritmo,Iteración,Estados Visitados,Tiempos,Solución Óptima
Simulated Annealing,1,592,0.0070438385009765625,False
Simulated Annealing,2,341,0.003007650375366211,False
Simulated Annealing,3,250,0.002012491226196289,True
Simulated Annealing,4,496,0.00501251220703125,False
Simulated Annealing,5,1000,0.010016679763793945,False
Simulated Annealing,6,814,0.0149993896484375,False
Simulated Annealing,7,291,0.002998828887939453,False
Simulated Annealing,8,941,0.010050535202026367,False
Simulated Annealing,9,1000,0.018575429916381836,False
Simulated Annealing,10,1000,0.011049270629882812,True
Simulated Annealing,11,1000,0.01600813865661621,True
Simulated Annealing,12,463,0.01000833511352539,False
Simulated Annealing,13,1000,0.010966300964355469,True
Simulated Annealing,14,1000,0.011064291000366211,False
Simulated Annealing,15,296,0.003063678741455078,False
Simulated Annealing,16,1000,0.010964393615722656,False
Simulated Annealing,17,264,0.0029997825622558594,False
Simulated Annealing,18,1000,0.009973287582397461,False
Simulated Annealing,19,1000,0.009889364242553711,False
Simulated Annealing,20,434,0.004919290542602539,False
Simulated Annealing,21,710,0.013999223709106445,False
Simulated Annealing,22,1000,0.016911029815673828,True
Simulated Annealing,23,104,0.0019996166229248047,False
Simulated Annealing,24,1000,0.010883569717407227,True
Simulated Annealing,25,582,0.006539344787597656,False
Simulated Annealing,26,835,0.016999483108520508,False
Simulated Annealing,27,1000,0.011059284210205078,False
Simulated Annealing,28,149,0.0020058155059814453,True
Simulated Annealing,29,557,0.010009288787841797,False
Simulated Annealing,30,426,0.007999181747436523,False
Hill Climbing,1,1000,0.26290440559387207,False
Hill Climbing,2,1000,0.25839805603027344,False
Hill Climbing,3,1000,0.26041436195373535,False
Hill Climbing,4,1000,0.2612149715423584,False
Hill Climbing,5,1000,0.29274868965148926,False
Hill Climbing,6,1000,0.38631582260131836,False
Hill Climbing,7,1000,0.2625563144683838,False
Hill Climbing,8,1000,0.26055288314819336,False
Hill Climbing,9,1000,0.27325010299682617,False
Hill Climbing,10,1000,0.303875207901001,False
Hill Climbing,11,1000,0.43606019020080566,False
Hill Climbing,12,1000,0.3374776840209961,False
Hill Climbing,13,1000,0.2748987674713135,False
Hill Climbing,14,1000,0.27547621726989746,False
Hill Climbing,15,1000,0.27710962295532227,False
Hill Climbing,16,1000,0.2677779197692871,False
Hill Climbing,17,1000,0.2565953731536865,False
Hill Climbing,18,1000,0.2577250003814697,False
Hill Climbing,19,1000,0.25802040100097656,False
Hill Climbing,20,1000,0.2633190155029297,False
Hill Climbing,21,1000,0.4185976982116699,False
Hill Climbing,22,1000,0.42709875106811523,False
Hill Climbing,23,1000,0.34778881072998047,False
Hill Climbing,24,1000,0.27594900131225586,False
Hill Climbing,25,1000,0.25383973121643066,False
Hill Climbing,26,1000,0.4125847816467285,False
Hill Climbing,27,1000,0.2618443965911865,False
Hill Climbing,28,1000,0.3231987953186035,False
Hill Climbing,29,1000,0.41199326515197754,False
Hill Climbing,30,1000,0.2859830856323242,False
Genetic Algorithm,1,467,0.1412677764892578,False
Genetic Algorithm,2,70,0.021886587142944336,False
Genetic Algorithm,3,27,0.010049581527709961,False
Genetic Algorithm,4,43,0.013942718505859375,False
Genetic Algorithm,5,42,0.022019147872924805,False
Genetic Algorithm,6,959,0.2834475040435791,False
Genetic Algorithm,7,1000,0.3057706356048584,False
Genetic Algorithm,8,1000,0.3769857883453369,False
Genetic Algorithm,9,434,0.13432860374450684,False
Genetic Algorithm,10,61,0.03202104568481445,False
Genetic Algorithm,11,17,0.0120086669921875,False
Genetic Algorithm,12,1000,0.3196146488189697,False
Genetic Algorithm,13,1000,0.31958603858947754,False
Genetic Algorithm,14,38,0.014049053192138672,False
Genetic Algorithm,15,57,0.01995229721069336,False
Genetic Algorithm,16,37,0.012000083923339844,True
Genetic Algorithm,17,253,0.07791614532470703,False
Genetic Algorithm,18,58,0.018961429595947266,False
Genetic Algorithm,19,347,0.10471320152282715,False
Genetic Algorithm,20,686,0.24795174598693848,False
Genetic Algorithm,21,34,0.020693302154541016,False
Genetic Algorithm,22,35,0.021784543991088867,False
Genetic Algorithm,23,1000,0.3223607540130615,False
Genetic Algorithm,24,109,0.03272604942321777,False
Genetic Algorithm,25,47,0.022129058837890625,False
Genetic Algorithm,26,1000,0.3469729423522949,False
Genetic Algorithm,27,25,0.008050680160522461,False
Genetic Algorithm,28,23,0.012012004852294922,False
Genetic Algorithm,29,72,0.038031816482543945,True
Genetic Algorithm,30,20,0.007049560546875,False
